CELL_ID,CELL_LAT,CELL_LON,MODE,HOT_BINS,WORST_MED_DELAY_SECS
620285723165589503,-41.32461303333333,174.81981831666667,BUS,12,183.5
620285728254590975,-41.288497715000005,174.7643057,BUS,12,233.5
620285722617446399,-41.223703005999994,174.87297486,BUS,10,329.0
620285726286938111,-41.205759089999994,174.91124093333335,BUS,9,249.0
620285726291394559,-41.2037612675,174.917815425,BUS,8,263.5
620285724377743359,-41.274181999999996,174.783442,BUS,8,131.0
620285723185250303,-41.309456583333336,174.79261664999999,BUS,7,134.5
620285723830124543,-41.206607315999996,174.80423266399998,BUS,7,351.0
620285723831173119,-41.210294160000004,174.8052662916667,BUS,7,368.5
620285728247775231,-41.275400648,174.75904578,BUS,6,270.0
620285726523654143,-41.195111274,174.95441616,BUS,6,267.0
620285724394782719,-41.262456928,174.766460478,BUS,6,204.0
620285728228376575,-41.291285935999994,174.79364791999998,BUS,6,309.0
620285722847870975,-41.22678560199999,174.90559371999998,BUS,6,242.0
620285726452875263,-41.16676560999999,174.96798009999998,BUS,6,235.0
620285722597785599,-41.224485855999994,174.87578882,BUS,6,144.0
620285728236503039,-41.297728275000004,174.7816870083333,BUS,6,325.5
620285726345396223,-41.12145970833333,174.87163165,BUS,5,124.5
620285726291656703,-41.203314999999996,174.92435,BUS,5,169.5
620285722589659135,-41.22566731799999,174.879768632,BUS,5,133.0
620285728235192319,-41.297981332,174.7690641,BUS,5,249.0
620285728295223295,-41.312901296666666,174.78513313333335,BUS,5,125.5
620285724368568319,-41.263989564,174.77831676,BUS,5,122.0
620285728242008063,-41.28247544166667,174.75806601333332,BUS,5,163.5
620285726370037759,-41.11797902666667,174.83876856999998,BUS,5,180.0
620285723116044287,-41.294117021666665,174.800084505,BUS,5,149.5
620285723841134591,-41.218760171999996,174.82238016,BUS,5,230.0
620285728249348095,-41.28700728333334,174.7547914533333,BUS,5,173.5
620285728254328831,-41.287787429999995,174.75715736,BUS,5,181.0
620285724310634495,-41.25228249285714,174.7865787714286,BUS,5,222.0
620285728290766847,-41.315841575,174.7781261,BUS,5,199.0
620285723099267071,-41.30648477333333,174.82578185666668,BUS,5,198.0
620285724395831295,-41.265927006666665,174.76647283833336,BUS,5,286.5
620285728252231679,-41.28378354766134,174.74072082612275,BUS,5,192.0
620285722593591295,-41.21622364,174.89151626666668,BUS,5,204.0
620285724373811199,-41.27817424696368,174.78119958042856,RAIL,5,56.0
620285722617446399,-41.223751203999996,174.87333414,BUS,5,174.0
620285724373811199,-41.27817424696368,174.7811995804286,RAIL,5,40.0
620285728241745919,-41.281868364,174.751142474,BUS,4,165.0
620285723159035903,-41.311910768,174.81965935399998,BUS,4,189.0
620285886394007551,-40.91647811376822,175.00538327804261,BUS,4,169.0
620285728295223295,-41.312879832,174.78535554,BUS,4,138.5
620285726291394559,-41.2037612675,174.91781542500001,BUS,4,160.5
620285728112771071,-41.31902928714286,174.80110215714288,BUS,4,134.0
620285728293126143,-41.307207274,174.76664141999998,BUS,4,209.0
620285728228376575,-41.29131030666667,174.79353773333332,BUS,4,272.0
620285723182366719,-41.31170258799999,174.7935815,BUS,4,94.0
620285728224706559,-41.295442592,174.77716458,BUS,4,184.0
620285726257577983,-41.21421963,174.8943659,BUS,4,177.0
620285723841134591,-41.218832197999994,174.82238216,BUS,4,150.0
620285886394007551,-40.91612063264947,175.00610554634963,BUS,4,152.0
620285722593591295,-41.21622364,174.89151626666663,BUS,4,180.5
620285726314201087,-41.13043029199999,174.837682624,BUS,4,185.0
620285726452875263,-41.16676561,174.96798009999998,BUS,4,156.5
620285726286938111,-41.20590445399999,174.91112916000003,BUS,4,257.0
620285722597785599,-41.224503473999995,174.87581318,BUS,4,135.0
620285722905542655,-41.239109670000005,174.9076116,BUS,4,184.0
620285728293126143,-41.307378975,174.76658970000003,OTHER,4,150.0
620285723184988159,-41.303355823333334,174.79322942500002,BUS,4,156.5
620285723165589503,-41.324668892,174.81977084,BUS,4,82.0
620285723183415295,-41.31556748166667,174.7934471,BUS,4,133.5
620285728298106879,-41.31110550999999,174.7789518,BUS,4,153.0
620285728073973759,-41.340713631999996,174.77126587200001,BUS,4,155.0
620285726370037759,-41.11800276333333,174.83863783,BUS,4,233.0
620285724338683903,-41.23094201,174.81352495,BUS,4,243.5
620285723830124543,-41.206607315999996,174.804232664,BUS,4,370.0
620285723168210943,-41.31535304999999,174.81602338333335,BUS,4,140.5
620285728214745087,-41.285123141666666,174.7361979166667,BUS,4,142.0
620285722586513407,-41.227380474,174.8860604,BUS,4,232.0
620285728247513087,-41.268706146666666,174.75938940666666,BUS,4,267.0
620285724299362303,-41.249141165,174.78708003333335,BUS,4,158.0
620285723183415295,-41.31560373833333,174.79354755,BUS,4,166.5
620285722586775551,-41.22685432000001,174.88408862,BUS,4,147.0
620285728232833023,-41.297936533333335,174.77581305333334,BUS,4,148.5
620285722430799871,-41.289711919999995,174.89928343333335,BUS,4,317.0
620285724372238335,-41.26476034902895,174.78415675615224,BUS,4,179.5
620285723184988159,-41.30327703625001,174.79316640000002,BUS,3,123.0
620285728236240895,-41.298306106,174.78606890400002,BUS,3,205.0
620285724299362303,-41.249136975,174.78710401666663,BUS,3,189.0
620285722589659135,-41.225694454999996,174.87981341500003,BUS,3,243.5
620285723176337407,-41.29746778,174.80101095999999,BUS,3,224.0
620285723168210943,-41.31554966999999,174.81557610000002,BUS,3,91.0
620285728297320447,-41.30550916166667,174.77828863666664,BUS,3,146.5
620285728299679743,-41.322794,174.775184,BUS,3,191.0
620285722839744511,-41.21941422428572,174.91702917142857,BUS,3,247.0
620285724364898303,-41.269990625,174.7811625,BUS,3,104.5
620285728298369023,-41.308705516,174.77836272,BUS,3,122.0
620285890530115583,-41.125663861999996,175.069673742,BUS,3,161.0
620285724409724927,-41.25589184,174.7963112,BUS,3,179.0
620285722841055231,-41.208762402000005,174.90717148,BUS,3,115.0
620285728242008063,-41.28254039833333,174.75800188166667,BUS,3,174.0
620285724372238335,-41.2647059133508,174.78411652301702,BUS,3,181.5
620285726291394559,-41.20373043166666,174.91786421666666,BUS,3,301.0
620285722912358399,-41.228750818,174.91652348,BUS,3,151.0
620285722873823231,-41.20102183,174.93265556,BUS,3,164.5
620285723836940287,-41.221132581999996,174.81083386,BUS,3,262.0
620285722873823231,-41.20102619666667,174.9326649333333,BUS,3,154.5
620285728299679743,-41.32272,174.77516,BUS,3,145.0
620285728072925183,-41.337319988000004,174.772624696,BUS,3,166.0
620285723837464575,-41.225490277999995,174.807241572,BUS,3,169.0
620285723842183167,-41.22185198,174.8230411375,BUS,3,189.5
620285723837202431,-41.218476302,174.8081095,BUS,3,101.0
620285723165589503,-41.32469744,174.81975538,BUS,3,126.0
620285724303556607,-41.24729400166667,174.79701056666667,BUS,3,234.0
620285728112771071,-41.31902928714286,174.80110215714285,BUS,3,112.0
620285724373286911,-41.27871924562064,174.7784252624711,BUS,3,94.0
620285722841055231,-41.20874038285715,174.90716474285713,BUS,3,146.0
620285723099267071,-41.306476482499995,174.825764805,BUS,3,210.5
620285723831173119,-41.210084082,174.80524961,BUS,3,158.0
620285722873823231,-41.20101528,174.9326415,BUS,3,249.5
620285723160608767,-41.312206206666666,174.82328703166664,BUS,3,167.5
620285724373811199,-41.276018846,174.78127018,BUS,3,136.0
620285722875133951,-41.20316405199999,174.92781668,BUS,3,217.0
620285724338159615,-41.227271378,174.81895934,BUS,3,164.0
620285728234668031,-41.292315550000005,174.77335065,BUS,3,140.0
620285890534047743,-41.124377976666665,175.07368066666666,BUS,3,127.0
620285724299362303,-41.24913907,174.787092025,BUS,3,231.0
620285728112771071,-41.31898864285715,174.80111314285713,BUS,3,119.0
620285722516783103,-41.30457139666667,174.88968666333335,BUS,3,149.5
620285728226803711,-41.28901794666667,174.77148496666666,BUS,3,230.5
620285728253280255,-41.28634455999999,174.757859,BUS,3,156.0
620285728236503039,-41.297608862857146,174.7817959857143,BUS,3,416.0
620285728291553279,-41.31257199666667,174.77927069999998,BUS,3,132.5
620285722882211839,-41.208802154,174.92811588,BUS,3,143.0
620285723184988159,-41.303245854000004,174.79311678,BUS,3,136.5
620285728214745087,-41.28509161,174.73633564285714,BUS,3,144.0
620285728224706559,-41.295569008,174.77714412,BUS,3,141.0
620285723185250303,-41.30942193,174.792555975,BUS,3,119.0
620285728291815423,-41.31983782557852,174.77674496146437,BUS,3,150.0
620285722845511679,-41.212661276,174.91560036,BUS,3,233.0
620285726413815807,-41.140348702,174.86302286,BUS,3,161.0
620285724377743359,-41.274179999999994,174.78344571428573,BUS,3,155.0
620285724374859775,-41.278346,174.77958199999998,BUS,3,199.0
620285724371714047,-41.260483427000004,174.78926309000002,BUS,3,110.5
620285728249348095,-41.28724213500001,174.7549316633333,BUS,3,124.0
620285724373811199,-41.276018846,174.78127017999998,BUS,3,135.0
620285726312103935,-41.1377335375,174.8428502375,BUS,3,147.0
620285728233619455,-41.301677940000005,174.77969678399998,BUS,3,323.0
620285728195346431,-41.30479668862874,174.76412236484316,BUS,3,242.5
620285728232046591,-41.30103795857143,174.77441170714286,BUS,3,248.0
620285728252493823,-41.282616405,174.74665477,BUS,3,147.5
620285886394007551,-40.91620547722671,175.00649300459563,BUS,3,124.5
620285724377743359,-41.27417499999999,174.783455,BUS,3,164.0
620285728246726655,-41.27219895142857,174.75930066571428,BUS,3,160.0
620285728293126143,-41.307378975,174.76658970000003,BUS,3,198.5
620285728253280255,-41.28673805846153,174.75727248461538,OTHER,3,97.0
620285723184726015,-41.303824614,174.79627792000002,BUS,3,236.0
620285728236765183,-41.29905799499999,174.7881793833333,OTHER,3,116.0
620285728207142911,-41.289258195972344,174.724745956026,BUS,3,295.0
620285728108314623,-41.320428092,174.79551074,BUS,3,138.0
620285722588086271,-41.22991931714286,174.88961572857144,BUS,3,238.0
620285891434774527,-40.891223538,174.98259586,BUS,3,195.0
620285728298369023,-41.30874863428572,174.7783854,BUS,2,90.0
620285885837213695,-40.8767181,175.06565111999998,BUS,2,114.0
620285722586775551,-41.22685432,174.88408861999997,BUS,2,255.0
620285725665918975,-41.118232045,174.89361539999996,OTHER,2,115.0
620285722847870975,-41.22684000333333,174.90560186666664,BUS,2,192.0
620285722617184255,-41.223821352,174.86679852,BUS,2,182.0
620285728112771071,-41.319008965,174.80110765000003,BUS,2,79.0
620285728299679743,-41.32271999999999,174.77516,BUS,2,249.0
