location,lat,lon,event_date,event_hour,is_weekend,arrivals,departures,total_movements,baseline_median,baseline_mad,baseline_n,ratio,robust_z,severity,direction
Wellington Airport (WLG),-41.3272,174.8052,2026-04-17,11,false,6,3,9,10.5,2.5,22,0.857,-0.405,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-17,12,false,8,5,13,13.0,2.0,22,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-17,13,false,8,8,16,12.5,1.5,22,1.28,1.574,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-17,14,false,10,6,16,15.5,2.0,22,1.032,0.169,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-17,15,false,6,8,14,13.0,2.0,22,1.077,0.337,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-17,16,false,9,10,19,18.5,3.0,22,1.027,0.112,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-17,17,false,9,5,14,13.5,1.5,22,1.037,0.225,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-17,18,false,5,9,14,10.0,2.0,22,1.4,1.349,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-17,19,false,10,8,18,11.5,2.5,22,1.565,1.754,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-17,20,false,2,5,7,6.5,1.5,22,1.077,0.225,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-17,21,false,4,1,5,4.0,1.0,22,1.25,0.674,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-17,22,false,1,1,2,1.0,0.0,22,2.0,,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-17,23,false,4,0,4,2.0,0.5,22,2.0,2.698,MEDIUM,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,6,true,0,3,3,3.5,0.5,8,0.857,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,7,true,6,4,10,7.5,3.0,8,1.333,0.562,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,8,true,11,3,14,9.5,1.0,8,1.474,3.035,MEDIUM,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,9,true,2,11,13,14.0,1.0,8,0.929,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,10,true,5,3,8,9.5,2.0,8,0.842,-0.506,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,11,true,3,2,5,10.5,1.5,8,0.476,-2.473,LOW,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,12,true,8,5,13,12.0,2.0,8,1.083,0.337,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,13,true,8,7,15,14.0,2.0,8,1.071,0.337,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,14,true,7,3,10,13.5,2.0,8,0.741,-1.18,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,15,true,2,6,8,13.0,2.5,8,0.615,-1.349,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,16,true,9,6,15,16.0,1.5,8,0.938,-0.45,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,17,true,5,5,10,10.5,1.0,8,0.952,-0.337,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,18,true,4,1,5,6.5,1.5,8,0.769,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,19,true,2,6,8,8.0,1.5,8,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,20,true,3,1,4,4.5,0.5,8,0.889,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,21,true,3,1,4,3.0,1.0,8,1.333,0.674,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,22,true,0,0,0,1.0,0.5,8,0.0,-1.349,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,23,true,2,0,2,2.0,0.5,8,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,6,true,0,3,3,3.5,0.5,8,0.857,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,7,true,3,1,4,7.5,3.0,8,0.533,-0.787,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,8,true,6,4,10,9.5,1.0,8,1.053,0.337,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,9,true,5,11,16,14.0,1.0,8,1.143,1.349,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,10,true,6,5,11,9.5,2.0,8,1.158,0.506,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,11,true,6,5,11,10.5,1.5,8,1.048,0.225,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,12,true,10,2,12,12.0,2.0,8,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,13,true,6,6,12,14.0,2.0,8,0.857,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,14,true,9,6,15,13.5,2.0,8,1.111,0.506,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,15,true,8,6,14,13.0,2.5,8,1.077,0.27,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,16,true,10,12,22,16.0,1.5,8,1.375,2.698,MEDIUM,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,17,true,6,4,10,10.5,1.0,8,0.952,-0.337,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,18,true,3,9,12,6.5,1.5,8,1.846,2.473,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,19,true,6,3,9,8.0,1.5,8,1.125,0.45,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,20,true,3,4,7,4.5,0.5,8,1.556,3.372,MEDIUM,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,21,true,5,0,5,3.0,1.0,8,1.667,1.349,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,22,true,1,1,2,1.0,0.5,8,2.0,1.349,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,23,true,1,1,2,2.0,0.5,8,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,0,false,1,0,1,1.0,1.0,22,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,6,false,2,5,7,8.0,1.0,22,0.875,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,7,false,9,5,14,12.0,3.0,22,1.167,0.45,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,8,false,12,5,17,14.0,1.0,22,1.214,2.023,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,9,false,2,12,14,15.5,2.0,22,0.903,-0.506,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,10,false,6,2,8,8.5,1.5,22,0.941,-0.225,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,11,false,4,4,8,10.5,2.5,22,0.762,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,12,false,7,2,9,13.0,2.0,22,0.692,-1.349,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,13,false,4,5,9,12.5,1.5,22,0.72,-1.574,LOW,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,14,false,3,1,4,15.5,2.0,22,0.258,-3.878,HIGH,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,15,false,3,4,7,13.0,2.0,22,0.538,-2.023,LOW,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,16,false,1,2,3,18.5,3.0,22,0.162,-3.485,MEDIUM,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,17,false,1,2,3,13.5,1.5,22,0.222,-4.721,HIGH,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,18,false,4,1,5,10.0,2.0,22,0.5,-1.686,LOW,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,19,false,0,3,3,11.5,2.5,22,0.261,-2.293,LOW,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,20,false,0,1,1,6.5,1.5,22,0.154,-2.473,LOW,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,21,false,2,0,2,4.0,1.0,22,0.5,-1.349,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,22,false,1,0,1,1.0,0.0,22,1.0,,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,23,false,0,0,0,2.0,0.5,22,0.0,-2.698,MEDIUM,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,0,false,1,0,1,1.0,1.0,22,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,6,false,2,5,7,8.0,1.0,22,0.875,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,7,false,4,4,8,12.0,3.0,22,0.667,-0.899,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,8,false,8,6,14,14.0,1.0,22,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,9,false,3,9,12,15.5,2.0,22,0.774,-1.18,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,10,false,3,1,4,8.5,1.5,22,0.471,-2.023,LOW,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,11,false,4,5,9,10.5,2.5,22,0.857,-0.405,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,12,false,5,1,6,13.0,2.0,22,0.462,-2.361,LOW,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,13,false,4,3,7,12.5,1.5,22,0.56,-2.473,LOW,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,14,false,6,5,11,15.5,2.0,22,0.71,-1.518,LOW,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,15,false,7,3,10,13.0,2.0,22,0.769,-1.012,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,16,false,3,10,13,18.5,3.0,22,0.703,-1.237,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,17,false,2,3,5,13.5,1.5,22,0.37,-3.822,HIGH,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,18,false,7,1,8,10.0,2.0,22,0.8,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,19,false,6,5,11,11.5,2.5,22,0.957,-0.135,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,20,false,2,6,8,6.5,1.5,22,1.231,0.674,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,21,false,3,0,3,4.0,1.0,22,0.75,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,22,false,1,0,1,1.0,0.0,22,1.0,,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,23,false,3,0,3,2.0,0.5,22,1.5,1.349,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,0,false,1,0,1,1.0,1.0,22,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,6,false,2,5,7,8.0,1.0,22,0.875,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,7,false,7,2,9,12.0,3.0,22,0.75,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,8,false,7,7,14,14.0,1.0,22,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,9,false,5,8,13,15.5,2.0,22,0.839,-0.843,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,10,false,4,6,10,8.5,1.5,22,1.176,0.674,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,11,false,6,1,7,10.5,2.5,22,0.667,-0.944,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,12,false,7,4,11,13.0,2.0,22,0.846,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,13,false,6,5,11,12.5,1.5,22,0.88,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,14,false,8,4,12,15.5,2.0,22,0.774,-1.18,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,15,false,10,10,20,13.0,2.0,22,1.538,2.361,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,16,false,5,11,16,18.5,3.0,22,0.865,-0.562,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,17,false,6,4,10,13.5,1.5,22,0.741,-1.574,LOW,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,18,false,5,7,12,10.0,2.0,22,1.2,0.674,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,19,false,6,3,9,11.5,2.5,22,0.783,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,20,false,3,7,10,6.5,1.5,22,1.538,1.574,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,21,false,2,1,3,4.0,1.0,22,0.75,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,22,false,2,0,2,1.0,0.0,22,2.0,,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-22,23,false,1,0,1,2.0,0.5,22,0.5,-1.349,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,0,false,1,0,1,1.0,1.0,22,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,6,false,1,7,8,8.0,1.0,22,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,7,false,7,2,9,12.0,3.0,22,0.75,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,8,false,8,4,12,14.0,1.0,22,0.857,-1.349,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,9,false,2,13,15,15.5,2.0,22,0.968,-0.169,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,10,false,6,3,9,8.5,1.5,22,1.059,0.225,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,11,false,8,9,17,10.5,2.5,22,1.619,1.754,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,12,false,6,5,11,13.0,2.0,22,0.846,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,13,false,8,7,15,12.5,1.5,22,1.2,1.124,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,14,false,5,11,16,15.5,2.0,22,1.032,0.169,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,15,false,9,4,13,13.0,2.0,22,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,16,false,9,13,22,18.5,3.0,22,1.189,0.787,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,17,false,7,7,14,13.5,1.5,22,1.037,0.225,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,18,false,2,6,8,10.0,2.0,22,0.8,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,19,false,8,6,14,11.5,2.5,22,1.217,0.674,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,20,false,2,4,6,6.5,1.5,22,0.923,-0.225,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,21,false,2,0,2,4.0,1.0,22,0.5,-1.349,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,22,false,1,0,1,1.0,0.0,22,1.0,,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,23,false,0,0,0,2.0,0.5,22,0.0,-2.698,MEDIUM,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,0,false,2,0,2,1.0,1.0,22,2.0,0.674,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,6,false,2,4,6,8.0,1.0,22,0.75,-1.349,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,7,false,10,6,16,12.0,3.0,22,1.333,0.899,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,8,false,8,5,13,14.0,1.0,22,0.929,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,9,false,6,13,19,15.5,2.0,22,1.226,1.18,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,10,false,8,2,10,8.5,1.5,22,1.176,0.674,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,11,false,6,7,13,10.5,2.5,22,1.238,0.674,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,12,false,10,6,16,13.0,2.0,22,1.231,1.012,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,13,false,3,8,11,12.5,1.5,22,0.88,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,14,false,12,7,19,15.5,2.0,22,1.226,1.18,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,15,false,12,11,23,13.0,2.0,22,1.769,3.372,MEDIUM,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,16,false,7,15,22,18.5,3.0,22,1.189,0.787,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,17,false,10,7,17,13.5,1.5,22,1.259,1.574,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,18,false,3,5,8,10.0,2.0,22,0.8,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,19,false,8,7,15,11.5,2.5,22,1.304,0.944,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,20,false,4,5,9,6.5,1.5,22,1.385,1.124,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,21,false,3,1,4,4.0,1.0,22,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,22,false,2,1,3,1.0,0.0,22,3.0,,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,23,false,1,1,2,2.0,0.5,22,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,6,true,1,4,5,3.5,0.5,8,1.429,2.023,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,7,true,7,2,9,7.5,3.0,8,1.2,0.337,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,8,true,5,5,10,9.5,1.0,8,1.053,0.337,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,9,true,4,10,14,14.0,1.0,8,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,10,true,9,6,15,9.5,2.0,8,1.579,1.855,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,11,true,7,5,12,10.5,1.5,8,1.143,0.674,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,12,true,11,4,15,12.0,2.0,8,1.25,1.012,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,13,true,6,8,14,14.0,2.0,8,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,14,true,9,4,13,13.5,2.0,8,0.963,-0.169,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,15,true,9,7,16,13.0,2.5,8,1.231,0.809,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,16,true,6,12,18,16.0,1.5,8,1.125,0.899,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,17,true,10,4,14,10.5,1.0,8,1.333,2.361,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,18,true,3,3,6,6.5,1.5,8,0.923,-0.225,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,19,true,1,3,4,8.0,1.5,8,0.5,-1.799,LOW,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,20,true,2,2,4,4.5,0.5,8,0.889,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,21,true,2,0,2,3.0,1.0,8,0.667,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,22,true,1,0,1,1.0,0.5,8,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,23,true,3,1,4,2.0,0.5,8,2.0,2.698,MEDIUM,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,6,true,0,4,4,3.5,0.5,8,1.143,0.674,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,7,true,2,2,4,7.5,3.0,8,0.533,-0.787,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,8,true,4,5,9,9.5,1.0,8,0.947,-0.337,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,9,true,4,9,13,14.0,1.0,8,0.929,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,10,true,5,5,10,9.5,2.0,8,1.053,0.169,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,11,true,6,4,10,10.5,1.5,8,0.952,-0.225,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,12,true,9,2,11,12.0,2.0,8,0.917,-0.337,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,13,true,3,5,8,14.0,2.0,8,0.571,-2.023,LOW,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,14,true,8,6,14,13.5,2.0,8,1.037,0.169,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,15,true,4,5,9,13.0,2.5,8,0.692,-1.079,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,16,true,7,8,15,16.0,1.5,8,0.938,-0.45,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,17,true,7,5,12,10.5,1.0,8,1.143,1.012,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,18,true,3,2,5,6.5,1.5,8,0.769,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,19,true,5,5,10,8.0,1.5,8,1.25,0.899,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,20,true,4,1,5,4.5,0.5,8,1.111,0.674,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,21,true,1,1,2,3.0,1.0,8,0.667,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,22,true,1,0,1,1.0,0.5,8,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-26,23,true,2,0,2,2.0,0.5,8,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,0,false,0,0,0,1.0,1.0,22,0.0,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,6,false,1,3,4,8.0,1.0,22,0.5,-2.698,MEDIUM,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,7,false,4,4,8,12.0,3.0,22,0.667,-0.899,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,8,false,4,5,9,14.0,1.0,22,0.643,-3.372,MEDIUM,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,9,false,5,12,17,15.5,2.0,22,1.097,0.506,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,10,false,5,5,10,8.5,1.5,22,1.176,0.674,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,11,false,8,3,11,10.5,2.5,22,1.048,0.135,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,12,false,4,5,9,13.0,2.0,22,0.692,-1.349,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,13,false,5,8,13,12.5,1.5,22,1.04,0.225,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,14,false,9,5,14,15.5,2.0,22,0.903,-0.506,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,15,false,9,10,19,13.0,2.0,22,1.462,2.023,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,16,false,6,14,20,18.5,3.0,22,1.081,0.337,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,17,false,9,5,14,13.5,1.5,22,1.037,0.225,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,18,false,4,6,10,10.0,2.0,22,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,19,false,5,7,12,11.5,2.5,22,1.043,0.135,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,20,false,4,2,6,6.5,1.5,22,0.923,-0.225,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,21,false,3,1,4,4.0,1.0,22,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,22,false,1,0,1,1.0,0.0,22,1.0,,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,23,false,2,0,2,2.0,0.5,22,1.0,0.0,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-28,0,false,0,0,0,1.0,1.0,22,0.0,-0.674,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-28,6,false,4,7,11,8.0,1.0,22,1.375,2.023,LOW,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-28,7,false,6,4,10,12.0,3.0,22,0.833,-0.45,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-28,8,false,12,4,16,14.0,1.0,22,1.143,1.349,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-28,9,false,3,12,15,15.5,2.0,22,0.968,-0.169,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-28,10,false,5,4,9,8.5,1.5,22,1.059,0.225,NONE,SURGE
Wellington Airport (WLG),-41.3272,174.8052,2026-04-28,11,false,2,3,5,10.5,2.5,22,0.476,-1.484,NONE,DROP
Wellington Airport (WLG),-41.3272,174.8052,2026-04-28,12,false,10,4,14,13.0,2.0,22,1.077,0.337,NONE,SURGE
