SiteRef,site_name,state_highway,lat,lon,anomaly_days,high_days,lowest_ratio,highest_ratio
00210974,Nth of Petone Interchange - SB,2,-41.22438570098756,174.85771903332991,7,5,0.547,1.175
01K21017,Te Moana Int Mainline Northbound,1K,-40.870443088335016,175.03216716900542,7,1,0.698,1.42
01N41060,Tawa Interchange - NB Off Ramp,1N,-41.187783467212654,174.83218880931753,7,5,0.507,1.085
05300006,Sth of No.1 Line,53,-41.15185609515857,175.36966876891017,7,2,0.113,1.186
01K41027,Poplar Ave Int Northbound Off Ramp,1K,-40.94212838280745,174.99177195669353,7,2,0.633,1.189
01N11072,Hawkestone Interchange - SB Through Traffic,1N,-41.27570477419338,174.77397073587517,7,5,0.619,1.169
01K11011,Peka Peka Int Mainline Southbound,1K,-40.838797480920086,175.08773044117214,7,0,0.694,1.26
00260978,Nth of Ngauranga Interchange - SB OFF Ramp,2,-41.2464930974834,174.81598994172566,7,2,0.564,1.136
05800011,West of Joseph Banks Drive,58,-41.1043516945681,174.90905379607648,7,1,0.527,1.302
01K31027,Poplar Ave Int Southbound On Ramp,1K,-40.941313599183765,174.99253154852647,7,2,0.633,1.182
00210961,Haywards Interchange Increasing,2,-41.157275100192365,174.97678250277565,7,4,0.543,1.214
05940025,Mungavin Interchange - NB OFF Ramp,59,-41.14091596410869,174.84437730897295,7,4,0.483,1.124
01N11060,Tawa Interchange - SB Through Traffic,1N,-41.1871962036905,174.8323036727549,6,2,0.636,1.133
00240972,Dowse Interchange - NB OFF Ramp,2,-41.216814418650664,174.8803720304055,6,4,0.485,1.179
00250972,Dowse Interchange - NB ON Ramp,2,-41.21515183550084,174.88402229071443,6,5,0.528,1.285
00210980,,,,,6,3,0.626,2.243
00260972,Dowse Interchange - SB OFF Ramp,2,-41.215036112746255,174.88504477187996,6,2,0.513,1.291
05950025,Mungavin Interchange - NB ON Ramp,59,-41.136238853666235,174.84453282487112,6,1,0.627,1.214
01N11071,Thorndon Overbridge - SB,1N,-41.27133276370204,174.7789147213871,6,1,0.244,1.199
01N11066,Newlands Interchange - SB Through Traffic,1N,-41.2330994817486,174.8085465322337,6,5,0.607,1.152
01K61023,Kapiti Rd Int Southbound Off Ramp,1K,-40.90647370972797,175.00282617257807,6,1,0.595,1.217
00230972,Dowse Interchange - SB ON Ramp,2,-41.216814418650664,174.8803720304055,6,4,0.463,1.302
00220980,,,,,6,3,0.533,1.17
01K61017,Te Moana Int Southbound Off Ramp,1K,-40.86716927867542,175.03801200216546,6,0,0.566,1.306
01N11011,PP2O Marycrest- SB Lanes,1N,-40.83505732872768,175.09081551482907,6,0,0.674,1.208
05910024,Porirua Nth Ramp Bridge - SB Through Traffic,59,-41.129381676229734,174.84471092337017,6,1,0.622,1.248
05960024,Porirua Nth Ramp Bridge - SB OFF Ramp,59,-41.129381676229734,174.84471092337017,6,1,0.579,1.215
00220978,Nth of Ngauranga Interchange - NB,2,-41.24109494978246,174.82420596953122,6,4,0.42,1.158
00200917,Sth of Tauherenikau River Bridge,2,-41.11801372768767,175.3701498546188,6,1,0.391,1.156
00220965,KELSON - Telemetry Site 99 - NB Lanes,2,-41.1829583637543,174.94195132186667,6,3,0.529,1.25
01K11023,Kapiti Rd Int Mainline Southbound,1K,-40.91002869312759,174.99780392446758,5,2,0.623,1.424
01K51017,Te Moana Int Northbound On Ramp,1K,-40.866613809485465,175.0383509681661,5,0,0.592,1.194
01K11017,Te Moana Int Mainline Southbound,1K,-40.87049501996548,175.0322874184695,5,0,0.703,1.314
05950024,Porirua Nth Ramp Bridge - NB ON Ramp,59,-41.130094544701684,174.84406370819946,5,1,0.55,1.21
01N21062,Grenada Interchange - NB Through Traffic,1N,-41.20629231777752,174.81792582487117,5,3,0.663,1.171
01K51023,Kapiti Rd Int Northbound On Ramp,1K,-40.90642997744809,175.0022312206778,5,2,0.641,1.218
05800015,East of Paremata RAB,58,-41.10443847239268,174.8734518356299,5,0,0.638,1.265
01N01064,Nth of Helston Rd Overbridge - Both,1N,-41.21937075730389,174.8104250161804,5,4,0.628,1.133
05900011,Nth of Wairaka Rd (Pukerua Bay),59,-41.033544852105805,174.88881507103173,5,2,0.555,1.181
05300001,West of Donalds Bridge,53,-41.12242973291852,175.3327738373446,5,2,0.318,1.192
01N21070,Thorndon Overbridge - NB,1N,-41.27058150597994,174.7797420264502,5,1,0.61,1.194
01N51072,Tinakori - NB On Ramp,1N,-41.275621324954244,174.77353870819937,5,0,0.755,1.234
00200937,REMUTAKA - Telemetry Site 01- Pakuratahi River Brg,2,-41.086730228072845,175.20701309277104,5,1,0.459,1.207
05900014,Taupo Swamp,59,-41.05819777666845,174.87609497578796,5,1,0.418,1.216
00230974,Petone - SB ON Ramp,2,-41.224367695545126,174.85771852715823,5,2,0.557,1.236
01N41066,Newlands Interchange - NB Off Ramp,1N,-41.234364917467225,174.80652905547694,5,4,0.584,1.214
01N51071,May St - NB On Ramp,1N,-41.27170000477336,174.7778741046074,5,3,0.338,1.547
01N41062,Grenada Interchange - NB Off Ramp,1N,-41.20629231777752,174.81792582487117,5,3,0.578,1.224
01N21080,,,,,4,3,0.589,1.143
01N21072,Hawkestone Interchange - NB Through Traffic,1N,-41.275621324954244,174.77353870819937,4,0,0.697,1.141
01N11003,PP2O Otaki Gorge Road - SB Lane,1N,-40.776574846838365,175.1424493397302,4,1,0.677,1.506
01N31062,Grenada Interchange - SB On Ramp,1N,-41.20592509227649,174.8189413517931,4,3,0.555,1.17
05960025,Mungavin Interchange - SB OFF Ramp,59,-41.13598012265427,174.84494258015758,4,0,0.556,1.253
01N10999,PP2O Waitohu Stream â€“ SB Lane,1N,-40.755371844268915,175.16162322282705,4,1,0.679,1.501
01N01077,Ruahine St (Sth of Goa St),1N,-41.3094273426379,174.7913977548842,3,0,0.798,1.187
01N11075,Vivian St - between Taranaki St and Tory St,1N,-41.295748137410165,174.77784190727473,3,0,0.822,1.175
01N21075,Arthur St - between Taranaki St and Cuba St,1N,-41.29762957371894,174.7749667585196,3,0,0.785,1.214
00250961,Haywards Interchange - SB on ramp from SH58,2,-41.15933720896326,174.97258947754452,3,0,0.538,1.097
01N01076,Patterson St (Sth of Basin Reserve),1N,-41.30186149056805,174.7844203022905,3,1,0.8,1.2
01N11062,Grenada Interchange - SB Through Traffic,1N,-41.20592509227649,174.8189413517931,2,0,0.54,1.442
00260961,Haywards Interchange - NB off ramp to SH58,2,-41.159315814104,174.97173075673984,2,0,0.521,1.152
01N31065,Johnsonville - SB On Ramp,1N,-41.23101115029241,174.81019538468675,2,2,0.548,1.291
01N61070,Aotea Quay - SB OFF Ramp,1N,-41.267003504128084,174.7857452504031,2,0,0.623,1.314
01N01080,Calabar Rd (Sth of Caledonia St),1N,-41.321650585670845,174.80926805414404,1,0,0.874,1.186
01N01001,Nth of Waerenga Rd (Otaki),1N,-40.76336238557087,175.1543942122018,1,1,0.248,1.261
00220979,NGAURANGA SH2 - Telemetry Site 4 - NB,2,-41.24899284340852,174.81165518413644,0,0,0.707,1.263
01N21068,NGAURANGA SH1 - Telemetry Site 4 - NB,1N,-41.24891293780564,174.81158138875574,0,0,0.715,1.248
00240961,Haywards Interchange - SB off ramp to SH58,2,-41.15737168608937,174.97692839931833,0,0,,
